player,position,club,team,minutes,minutes_90s,goals,assists,goals_per90,assists_per90,xg,xg_assist_per90,xg_per90,cards_yellow,cards_red,tackles_won,interceptions,blocked_passes,blocked_shots,clearances
Takuma Asano,FW,Bochum,Japan,165,1.8,1,0,0.55,0.0,0.7,0.17,0.44,0,0,0,1,0,0,1
Thilo Kehrer,DF,West Ham,Germany,69,0.8,0,0,0.0,0.0,0.0,0.0,0.0,1,0,2,3,1,0,2
Darwin Núñez,FW,Liverpool,Uruguay,240,2.7,0,0,0.0,0.0,0.4,0.09,0.14,1,0,2,0,2,0,2
Kim Seung-gyu,GK,Al-Shabab,Korea Republic,360,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,2
Niclas Füllkrug,FW,Werder Bremen,Germany,69,0.8,2,1,2.61,1.3,2.2,0.76,2.86,0,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Napoli,Cameroon,260,2.9,0,1,0.0,0.35,0.1,0.0,0.02,0,0,0,5,2,0,2
Pedri,MF,Barcelona,Spain,356,4.0,0,0,0.0,0.0,0.0,0.22,0.0,0,0,2,4,5,0,3
Piotr Zieliński,MF,Napoli,Poland,328,3.6,1,0,0.27,0.0,0.6,0.11,0.16,0,0,5,1,1,0,7
Youstin Salas,DF,Deportivo Saprissa,Costa Rica,47,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,1,1
Jordan Ayew,FW,Crystal Palace,Ghana,136,1.5,0,1,0.0,0.66,0.1,0.32,0.03,0,0,3,1,0,0,1
Mathías Olivera,DF,Napoli,Uruguay,253,2.8,0,0,0.0,0.0,0.1,0.15,0.03,1,0,5,2,9,0,10
Son Jun-ho,MF,Shandong Lunen,Korea Republic,72,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,3,2,1,0
Anthony Contreras,FW,Club Sport Herediano,Costa Rica,125,1.4,0,0,0.0,0.0,0.0,0.01,0.0,1,0,2,1,0,0,0
Fabinho,MF,Liverpool,Brazil,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,0,2
Kieran Trippier,DF,Newcastle Utd,England,206,2.3,0,0,0.0,0.0,0.0,0.07,0.02,0,0,4,1,2,1,4
Mason Mount,MF,Chelsea,England,186,2.1,0,0,0.0,0.0,0.2,0.02,0.1,0,0,2,0,2,0,0
Mateo Kovačić,MF,Chelsea,Croatia,635,7.1,0,0,0.0,0.0,0.3,0.14,0.05,2,0,17,4,3,1,5
Noussair Mazraoui,DF,Bayern Munich,Morocco,365,4.1,0,0,0.0,0.0,0.2,0.01,0.04,0,0,9,1,5,1,16
Wataru Endo,MF,Stuttgart,Japan,304,3.4,0,0,0.0,0.0,0.2,0.15,0.06,1,0,4,3,5,3,6
Ricardo Horta,FW,Braga,Portugal,119,1.3,1,0,0.76,0.0,0.8,0.05,0.58,0,0,1,1,0,1,0
Steve Mandanda,GK,Rennes,France,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Youri Tielemans,MF,Leicester City,Belgium,95,1.1,0,0,0.0,0.0,0.0,0.07,0.0,0,0,1,2,3,1,0
Azzedine Ounahi,MF,Angers,Morocco,568,6.3,0,0,0.0,0.0,0.3,0.08,0.05,1,0,8,7,4,1,2
Cameron Carter-Vickers,DF,Celtic,United States,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,4
Henry Martín,FW,América,Mexico,146,1.6,1,0,0.62,0.0,0.9,0.13,0.57,0,0,1,2,2,0,1
Nemanja Maksimović,MF,Getafe,Serbia,122,1.4,0,0,0.0,0.0,0.0,0.07,0.0,0,0,2,3,3,0,3
Vincent Aboubakar,FW,Al-Nassr,Cameroon,142,1.6,2,1,1.27,0.63,0.6,0.39,0.37,2,1,0,0,0,0,4
Yassine Meriah,DF,Espérance de Tunis,Tunisia,270,3.0,0,0,0.0,0.0,0.1,0.01,0.02,0,0,2,1,5,0,20
Anass Zaroury,FW,Burnley,Morocco,27,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0
Martín Cáceres,DF,LA Galaxy,Uruguay,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2
Raphaël Guerreiro,DF,Dortmund,Portugal,279,3.1,1,2,0.32,0.65,0.4,0.19,0.12,0,0,2,3,3,0,2
Youssouf Sabaly,DF,Betis,Senegal,360,4.0,0,0,0.0,0.0,0.0,0.16,0.01,0,0,6,4,1,0,9
David Wotherspoon,MF,St Johnstone,Canada,15,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
Hiroki Sakai,MF,Urawa Reds,Japan,119,1.3,0,0,0.0,0.0,0.5,0.07,0.54,0,0,4,1,0,2,8
Leandro Trossard,FW,Brighton,Belgium,103,1.1,0,0,0.0,0.0,0.0,0.08,0.0,0,0,1,0,1,0,0
Abolfazl Jalali,DF,Esteghlal,IR Iran,19,0.2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
Cheikhou Kouyaté,MF,Nott'ham Forest,Senegal,72,0.8,0,0,0.0,0.0,0.0,0.05,0.0,0,0,0,2,1,1,4
Nader Ghandri,DF,Club Africain,Tunisia,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0,4,4
Tarek Salman,DF,Al Sadd SC,Qatar,8,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
Alan Franco,MF,Talleres,Ecuador,46,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,1
Ruben Vargas,FW,Augsburg,Switzerland,285,3.2,0,1,0.0,0.32,0.3,0.19,0.11,1,0,0,1,2,0,4
Shogo Taniguchi,DF,Kawa Frontale,Japan,210,2.3,0,0,0.0,0.0,0.2,0.0,0.12,1,0,0,1,0,2,10
Lukas Klostermann,DF,RB Leipzig,Germany,66,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
Montassar Talbi,DF,Lorient,Tunisia,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,6,1,18
Thiago Silva,DF,Chelsea,Brazil,390,4.3,0,1,0.0,0.23,0.2,0.23,0.04,0,0,1,5,2,1,6
Harry Wilson,MF,Fulham,Wales,160,1.8,0,0,0.0,0.0,0.1,0.28,0.05,0,0,2,1,1,0,3
Hidemasa Morita,MF,Sporting CP,Japan,285,3.2,0,0,0.0,0.0,0.2,0.03,0.05,0,0,0,3,7,2,4
Kevin De Bruyne,FW,Manchester City,Belgium,270,3.0,0,0,0.0,0.0,0.2,0.3,0.08,0,0,1,0,2,0,3
Uriel Antuna,FW,Cruz Azul,Mexico,77,0.9,0,0,0.0,0.0,0.2,0.02,0.18,0,0,3,0,1,0,0
Wajdi Kechrida,DF,Atromitos,Tunisia,111,1.2,0,0,0.0,0.0,0.0,0.08,0.0,1,0,3,0,2,1,4
Djibril Sow,MF,Eint Frankfurt,Switzerland,264,2.9,0,1,0.0,0.34,0.2,0.06,0.06,0,0,1,2,0,0,0
Mohammed Muntari,FW,Al Duhail SC,Qatar,63,0.7,1,0,1.43,0.0,0.2,0.03,0.3,0,0,2,0,0,0,2
